R,G,B
253,15,3
254,16,3
253,17,3
254,18,4
255,20,3
253,20,3
253,21,1
253,22,2
254,23,3
253,24,3
254,25,4
254,25,2
253,29,4
253,29,4
254,30,4
252,31,4
253,32,3
253,34,4
253,34,2
253,34,2
253,36,3
252,38,4
252,38,2
253,39,3
253,41,3
252,43,4
253,44,3
253,44,3
253,46,2
254,47,3
253,48,1
254,49,2
253,51,1
253,53,2
252,55,3
252,55,2
253,56,3
254,57,4
253,58,2
253,60,3
254,61,2
253,63,3
253,65,2
254,66,3
255,67,3
253,68,3
254,69,2
254,71,3
255,72,2
255,74,3
255,75,1
255,76,2
252,79,3
252,79,2
252,81,3
253,82,2
253,84,3
254,85,2
252,86,2
253,87,3
254,89,0
254,90,1
254,90,1
253,92,2
254,93,2
254,95,3
255,96,4
255,96,4
253,99,1
253,99,1
254,100,2
254,102,3
253,104,2
252,105,2
253,106,3
252,106,3
254,106,6
254,107,4
254,108,5
254,109,4
253,110,5
254,112,4
254,113,5
254,113,5
255,115,2
255,116,3
254,117,3
254,119,2
254,121,3
255,122,3
254,124,4
254,124,2
254,126,3
254,126,1
255,127,2
254,129,3
253,129,3
254,131,2
255,132,3
254,133,3
252,135,4
253,136,5
254,137,5
252,138,5
253,139,4
253,141,5
254,142,4
254,142,4
253,147,3
253,147,3
253,148,4
253,149,2
252,150,3
253,152,2
253,153,3
253,153,3
254,154,4
255,155,5
254,156,3
255,157,4
254,160,3
255,161,4
255,163,4
255,163,4
254,165,1
254,167,2
254,167,2
255,168,3
255,169,4
254,171,3
255,172,4
255,172,4
253,175,4
253,175,4
254,176,5
254,178,4
255,179,5
254,180,3
255,181,4
255,181,4
254,184,1
255,185,2
255,185,1
255,187,2
254,189,1
255,190,2
255,190,0
254,191,0
254,193,4
254,193,4
253,194,4
254,195,5
254,197,6
254,197,4
253,199,5
253,199,5
254,200,4
254,200,4
253,201,3
254,202,4
253,204,3
253,204,3
253,206,2
253,206,2
253,206,2
254,207,3
254,207,3
254,208,1
254,209,2
254,209,2
254,209,2
255,210,3
254,212,4
254,212,4
254,212,3
253,213,3
254,214,4
254,214,4
254,214,4
254,214,2
253,216,3
255,215,3
255,215,3
254,214,4
252,215,4
250,216,4
247,216,3
246,217,3
